34.168.254.140    10.138.0.64
35.233.178.56    10.138.0.68
35.227.142.198    10.138.0.38
35.233.147.50    10.138.0.71
34.168.147.20    10.138.0.65
35.197.29.86    10.138.0.63
35.230.127.93    10.138.0.79
34.127.44.252    10.138.0.30
34.168.198.77    10.138.0.77
34.82.176.207    10.138.0.55
35.230.30.117    10.138.0.49
34.168.167.247    10.138.0.70
34.168.222.210    10.138.0.34
104.198.107.5    10.138.0.48
104.199.126.27    10.138.0.32
104.198.1.135    10.138.0.73
34.168.213.6    10.138.0.81
34.83.121.201    10.138.0.67
34.83.80.0    10.138.0.89
35.185.251.5    10.138.0.80
34.159.41.226    10.156.0.8
34.159.102.127    10.156.0.13
34.159.52.181    10.156.0.12
35.198.110.98    10.156.0.22
35.198.167.242    10.156.0.110
34.159.108.5    10.156.0.100
34.107.75.69    10.156.0.3
34.159.89.142    10.156.0.9
34.141.74.186    10.156.0.20
35.198.112.105    10.156.0.24
34.107.22.143    10.156.0.98
35.246.227.246    10.156.0.73
34.141.63.65    10.156.0.4
35.198.147.180    10.156.0.111
34.89.135.145    10.156.0.17
34.159.79.14    10.156.0.18
34.159.99.56    10.156.0.10
35.198.170.196    10.156.0.101
34.159.42.244    10.156.0.15
34.159.231.38    10.156.0.11
35.200.219.31    10.160.0.5
35.200.171.141    10.160.0.69
34.93.16.235    10.160.0.15
34.93.199.61    10.160.0.46
35.244.60.80    10.160.0.108
34.93.188.161    10.160.0.98
34.93.88.79    10.160.0.77
35.200.167.182    10.160.0.70
